Date,Year,Daily.Count
21-Jul,2021,538
22-Jul,2021,1269
23-Jul,2021,835
24-Jul,2021,408
25-Jul,2021,484
26-Jul,2021,183
27-Jul,2021,532
28-Jul,2021,410
29-Jul,2021,271
30-Jul,2021,542
31-Jul,2021,358
1-Aug,2021,317
2-Aug,2021,228
3-Aug,2021,256
4-Aug,2021,183
5-Aug,2021,280
6-Aug,2021,259
7-Aug,2021,297
8-Aug,2021,211
9-Aug,2021,116
10-Aug,2021,48
11-Aug,2021,154
12-Aug,2021,151
13-Aug,2021,170
14-Aug,2021,178
15-Aug,2021,116
16-Aug,2021,63
17-Aug,2021,92
18-Aug,2021,20
19-Aug,2021,59
20-Aug,2021,87
21-Aug,2021,33
22-Aug,2021,20
23-Aug,2021,7
24-Aug,2021,0
25-Aug,2021,7
26-Aug,2021,39
27-Aug,2021,7
28-Aug,2021,0
29-Aug,2021,7
30-Aug,2021,26
31-Aug,2021,0
1-Sep,2021,0
2-Sep,2021,0
3-Sep,2021,0
4-Sep,2021,0
5-Sep,2021,0
6-Sep,2021,0
7-Sep,2021,7
8-Sep,2021,0
9-Sep,2021,0
10-Sep,2021,0
11-Sep,2021,0
12-Sep,2021,0
13-Sep,2021,0
14-Sep,2021,0
15-Sep,2021,0
16-Sep,2021,0
17-Sep,2021,0
18-Sep,2021,0
19-Sep,2021,0
20-Sep,2021,0
21-Sep,2021,0
22-Sep,2021,0
23-Sep,2021,0
24-Sep,2021,0
25-Sep,2021,0
26-Sep,2021,0
27-Sep,2021,0
28-Sep,2021,0
29-Sep,2021,0
30-Sep,2021,0
1-Oct,2021,0
2-Oct,2021,0
12-Jun,2022,2
13-Jun,2022,7
14-Jun,2022,0
15-Jun,2022,24
16-Jun,2022,9
17-Jun,2022,7
18-Jun,2022,0
19-Jun,2022,16
20-Jun,2022,48
21-Jun,2022,53
22-Jun,2022,59
23-Jun,2022,52
24-Jun,2022,133
25-Jun,2022,333
26-Jun,2022,106
27-Jun,2022,1153
28-Jun,2022,482
29-Jun,2022,325
30-Jun,2022,723
1-Jul,2022,458
2-Jul,2022,1109
3-Jul,2022,871
4-Jul,2022,995
5-Jul,2022,1396
6-Jul,2022,1347
7-Jul,2022,1056
8-Jul,2022,1280
9-Jul,2022,1874
10-Jul,2022,1370
11-Jul,2022,1703
12-Jul,2022,1777
13-Jul,2022,1223
14-Jul,2022,1057
15-Jul,2022,843
16-Jul,2022,1675
17-Jul,2022,1304
18-Jul,2022,780
19-Jul,2022,1855
20-Jul,2022,1443
21-Jul,2022,1291
22-Jul,2022,516
23-Jul,2022,1074
24-Jul,2022,1543
25-Jul,2022,953
26-Jul,2022,747
27-Jul,2022,765
28-Jul,2022,544
29-Jul,2022,905
30-Jul,2022,804
31-Jul,2022,1018
1-Aug,2022,269
2-Aug,2022,535
3-Aug,2022,374
4-Aug,2022,268
5-Aug,2022,350
6-Aug,2022,451
7-Aug,2022,360
8-Aug,2022,137
9-Aug,2022,131
10-Aug,2022,200
11-Aug,2022,119
12-Aug,2022,96
13-Aug,2022,109
14-Aug,2022,218
15-Aug,2022,97
16-Aug,2022,85
17-Aug,2022,46
18-Aug,2022,65
19-Aug,2022,42
20-Aug,2022,52
21-Aug,2022,52
22-Aug,2022,31
23-Aug,2022,13
24-Aug,2022,13
25-Aug,2022,7
26-Aug,2022,65
27-Aug,2022,26
28-Aug,2022,0
29-Aug,2022,33
30-Aug,2022,26
31-Aug,2022,0
1-Sep,2022,7
2-Sep,2022,33
3-Sep,2022,0
4-Sep,2022,0
5-Sep,2022,0
